Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,TimeOccurrence
8274,2020-11-12 15:00:00,2020-12-10 17:00:00,11-12-2020 04:42,16,512,11,63,1,4,3,4,1,2021-01-17 15:00:00,04:42
8275,2020-11-12 03:00:00,2020-12-10 18:00:00,11-12-2020 17:35,28,159,12,64,0,0,1,1,1,2021-02-12 03:00:00,17:35
8276,2020-11-12 00:00:00,2020-12-10 19:00:00,11-12-2020 10:27,5,187,17,45,0,4,1,14,0,,10:27
8277,2020-12-12 05:00:00,2020-12-10 20:00:00,11-12-2020 15:03,4,507,0,50,0,3,0,13,0,,15:03
8278,,2020-12-10 21:00:00,11-12-2020 17:47,17,238,19,28,0,3,1,7,1,2021-03-04 13:00:00,17:47
8279,2020-11-12 16:00:00,2020-12-10 22:00:00,10-12-2020 23:40,20,264,5,35,0,0,3,15,0,,23:40
8280,,2020-12-10 23:00:00,11-12-2020 12:15,11,175,10,10,0,1,1,12,0,,12:15
8281,2020-12-12 00:00:00,2020-12-11 00:00:00,11-12-2020 05:39,8,381,16,16,0,4,3,7,0,,05:39
8282,2020-12-12 11:00:00,2020-12-11 01:00:00,11-12-2020 18:48,5,514,15,69,0,4,3,11,0,,18:48
8283,2020-12-12 00:00:00,2020-12-11 02:00:00,11-12-2020 10:38,1,328,17,71,0,0,1,4,1,2021-03-07 00:00:00,10:38
8284,2020-11-12 19:00:00,2020-12-11 03:00:00,12-12-2020 00:35,14,226,14,62,1,6,1,2,0,,00:35
8285,2020-11-12 15:00:00,2020-12-11 04:00:00,11-12-2020 20:52,2,352,10,77,0,6,1,3,1,2022-08-21 15:00:00,20:52
8286,2020-12-12 04:00:00,2020-12-11 05:00:00,11-12-2020 14:02,5,405,1,41,0,1,3,14,1,2021-02-17 04:00:00,14:02
8287,,2020-12-11 06:00:00,11-12-2020 22:29,1,295,7,35,0,6,1,7,1,2020-12-30 02:00:00,22:29
8288,2020-12-12 01:00:00,2020-12-11 07:00:00,11-12-2020 20:09,9,544,7,77,0,3,1,10,0,,20:09
8289,,2020-12-11 08:00:00,11-12-2020 09:38,8,191,10,15,0,6,1,2,0,,09:38
8290,,2020-12-11 09:00:00,12-12-2020 04:58,4,452,20,61,1,2,3,3,0,,04:58
8291,,2020-12-11 10:00:00,11-12-2020 16:03,14,548,3,76,1,0,1,4,0,,16:03
8292,,2020-12-11 11:00:00,12-12-2020 07:01,21,404,3,69,0,4,1,17,1,2021-01-12 15:00:00,07:01
8293,2020-11-12 18:00:00,2020-12-11 12:00:00,12-12-2020 08:54,2,466,10,23,0,1,1,2,1,2022-04-18 18:00:00,08:54
8294,2020-12-12 04:00:00,2020-12-11 13:00:00,11-12-2020 14:23,27,530,6,60,0,6,1,17,0,,14:23
8295,,2020-12-11 14:00:00,12-12-2020 03:53,17,103,16,53,0,5,3,5,0,,03:53
8296,,2020-12-11 15:00:00,11-12-2020 17:41,17,214,4,40,0,1,1,5,1,2021-01-30 00:00:00,17:41
8297,2020-12-12 01:00:00,2020-12-11 16:00:00,11-12-2020 19:39,23,562,15,11,0,0,3,13,0,,19:39
8298,2020-12-12 04:00:00,2020-12-11 17:00:00,12-12-2020 00:16,2,161,20,47,0,5,3,18,1,2021-01-20 04:00:00,00:16
8299,,2020-12-11 18:00:00,12-12-2020 09:13,18,336,17,79,0,5,1,9,1,2021-02-03 14:00:00,09:13
8300,,2020-12-11 19:00:00,12-12-2020 04:19,8,573,20,14,0,2,3,3,1,2021-03-01 14:00:00,04:19
8301,2020-12-12 17:00:00,2020-12-11 20:00:00,12-12-2020 02:37,18,252,13,33,0,5,1,12,0,,02:37
8302,2020-12-12 01:00:00,2020-12-11 21:00:00,12-12-2020 16:06,2,209,14,61,0,1,1,6,1,2020-12-20 01:00:00,16:06
8303,,2020-12-11 22:00:00,12-12-2020 12:41,25,448,9,45,0,5,1,2,0,,12:41
8304,,2020-12-11 23:00:00,12-12-2020 22:17,2,271,10,63,0,1,1,3,1,2022-08-15 14:00:00,22:17
8305,2020-12-12 07:00:00,2020-12-12 00:00:00,12-12-2020 22:42,24,386,12,71,0,4,1,19,1,2021-01-19 07:00:00,22:42
8306,,2020-12-12 01:00:00,12-12-2020 06:58,5,351,7,55,0,6,1,10,0,,06:58
8307,,2020-12-12 02:00:00,12-12-2020 16:20,9,446,15,39,0,1,3,6,1,2021-04-04 11:00:00,16:20
8308,,2020-12-12 03:00:00,12-12-2020 03:28,17,352,7,59,1,6,1,19,1,2020-12-31 02:00:00,03:28
8309,,2020-12-12 04:00:00,12-12-2020 15:08,10,326,12,71,0,3,1,18,1,2021-02-25 22:00:00,15:08
8310,,2020-12-12 05:00:00,13-12-2020 00:27,14,227,15,40,0,1,3,1,1,2021-02-05 03:00:00,00:27
8311,,2020-12-12 06:00:00,12-12-2020 16:07,24,178,15,51,0,0,3,14,0,,16:07
8312,,2020-12-12 07:00:00,12-12-2020 07:45,3,256,11,47,1,2,3,18,1,2021-03-10 03:00:00,07:45
8313,,2020-12-12 08:00:00,12-12-2020 10:14,4,143,4,52,0,4,1,13,1,2021-02-09 22:00:00,10:14
8314,2020-12-12 17:00:00,2020-12-12 09:00:00,12-12-2020 14:56,13,192,18,28,0,4,2,9,0,,14:56
8315,,2020-12-12 10:00:00,13-12-2020 06:13,17,202,16,73,0,1,3,8,1,2022-02-19 10:00:00,06:13
8316,,2020-12-12 11:00:00,12-12-2020 17:17,2,228,7,22,1,0,1,15,1,2021-03-12 05:00:00,17:17
8317,2020-12-12 13:00:00,2020-12-12 12:00:00,13-12-2020 10:33,20,403,8,17,0,1,0,4,1,2021-01-14 13:00:00,10:33
8318,,2020-12-12 13:00:00,13-12-2020 00:33,12,366,3,47,0,6,1,13,1,2021-02-27 23:00:00,00:33
8319,,2020-12-12 14:00:00,13-12-2020 04:15,8,349,1,79,0,0,3,15,0,,04:15
8320,,2020-12-12 15:00:00,13-12-2020 04:11,18,383,20,26,0,4,3,5,1,2021-02-13 10:00:00,04:11
8321,,2020-12-12 16:00:00,13-12-2020 14:57,20,563,5,21,0,5,3,11,1,2020-12-24 10:00:00,14:57
8322,,2020-12-12 17:00:00,12-12-2020 21:05,1,201,13,13,1,2,1,16,1,2020-12-30 00:00:00,21:05
8323,,2020-12-12 18:00:00,13-12-2020 02:39,8,227,12,43,0,5,1,16,1,2021-01-03 02:00:00,02:39
8324,,2020-12-12 19:00:00,13-12-2020 04:01,8,567,4,48,0,4,1,5,1,2021-03-10 09:00:00,04:01
8325,,2020-12-12 20:00:00,13-12-2020 09:19,13,374,16,21,0,3,3,3,1,2022-05-17 06:00:00,09:19
8326,2020-12-12 22:00:00,2020-12-12 21:00:00,13-12-2020 01:26,4,169,10,36,1,5,1,15,0,,01:26
8327,,2020-12-12 22:00:00,13-12-2020 14:18,10,204,19,68,0,6,1,7,1,2021-03-10 20:00:00,14:18
8328,,2020-12-12 23:00:00,13-12-2020 01:43,13,389,19,28,0,1,1,4,0,,01:43
8329,,2020-12-13 00:00:00,13-12-2020 02:12,2,115,9,43,0,6,1,8,1,2021-01-09 17:00:00,02:12
8330,,2020-12-13 01:00:00,13-12-2020 18:35,5,402,2,55,0,0,1,10,0,,18:35
8331,,2020-12-13 02:00:00,13-12-2020 19:01,3,198,19,22,0,1,1,6,0,,19:01
8332,,2020-12-13 03:00:00,14-12-2020 01:22,13,102,14,38,0,4,1,16,1,2020-12-19 21:00:00,01:22
8333,,2020-12-13 04:00:00,13-12-2020 05:16,14,390,12,55,1,1,1,19,1,2021-01-03 19:00:00,05:16
8334,,2020-12-13 05:00:00,13-12-2020 16:42,5,281,11,57,0,5,3,16,0,,16:42
8335,,2020-12-13 06:00:00,14-12-2020 05:42,8,495,20,13,1,3,3,15,1,2021-02-13 01:00:00,05:42
8336,,2020-12-13 07:00:00,13-12-2020 14:17,8,485,20,75,1,2,3,10,0,,14:17
8337,,2020-12-13 08:00:00,13-12-2020 10:38,9,477,9,35,0,6,1,12,1,2021-02-01 07:00:00,10:38
8338,,2020-12-13 09:00:00,13-12-2020 17:31,13,378,0,61,0,6,0,14,1,2021-02-04 12:00:00,17:31
8339,,2020-12-13 10:00:00,13-12-2020 16:56,12,515,5,19,1,6,3,3,0,,16:56
8340,,2020-12-13 11:00:00,14-12-2020 07:29,21,158,14,19,0,0,1,10,0,,07:29
8341,,2020-12-13 12:00:00,13-12-2020 18:04,26,236,20,20,0,2,3,10,0,,18:04
8342,,2020-12-13 13:00:00,14-12-2020 12:11,13,104,20,67,0,6,3,13,1,2020-12-30 21:00:00,12:11
8343,,2020-12-13 14:00:00,14-12-2020 01:57,13,219,10,61,0,0,1,14,0,,01:57
8344,,2020-12-13 15:00:00,13-12-2020 22:31,17,385,19,48,0,2,1,12,1,2021-02-13 07:00:00,22:31
8345,,2020-12-13 16:00:00,14-12-2020 12:25,18,254,7,42,0,0,1,13,1,2021-02-20 17:00:00,12:25
8346,,2020-12-13 17:00:00,13-12-2020 23:21,1,471,10,39,1,5,1,5,0,,23:21
8347,,2020-12-13 18:00:00,14-12-2020 16:48,3,548,5,47,0,1,3,6,1,2021-01-17 07:00:00,16:48
8348,,2020-12-13 19:00:00,13-12-2020 21:10,25,222,7,76,0,0,1,11,1,2021-02-11 17:00:00,21:10
8349,,2020-12-13 20:00:00,14-12-2020 15:51,18,247,2,33,0,1,1,10,0,,15:51
8350,,2020-12-13 21:00:00,14-12-2020 04:50,17,563,8,15,1,4,0,12,1,2021-03-07 15:00:00,04:50
8351,,2020-12-13 22:00:00,14-12-2020 03:26,13,400,1,62,0,6,3,8,1,2021-01-19 20:00:00,03:26
8352,,2020-12-13 23:00:00,14-12-2020 08:15,17,436,10,71,0,2,1,1,0,,08:15
8353,,2020-12-14 00:00:00,14-12-2020 23:26,25,104,15,74,1,2,3,2,0,,23:26
8354,,2020-12-14 01:00:00,14-12-2020 16:34,2,240,0,69,0,0,0,18,0,,16:34
8355,,2020-12-14 02:00:00,14-12-2020 08:33,17,281,9,35,1,6,1,4,1,2021-01-31 12:00:00,08:33
8356,,2020-12-14 03:00:00,15-12-2020 01:39,18,496,7,73,0,2,1,18,0,,01:39
8357,,2020-12-14 04:00:00,14-12-2020 22:31,23,518,20,27,0,6,3,2,0,,22:31
8358,,2020-12-14 05:00:00,14-12-2020 09:21,8,194,19,36,1,3,1,17,1,2021-02-12 00:00:00,09:21
8359,,2020-12-14 06:00:00,15-12-2020 05:40,27,176,20,48,0,0,3,13,1,2021-03-15 00:00:00,05:40
8360,,2020-12-14 07:00:00,14-12-2020 12:16,28,433,1,24,1,3,3,18,0,,12:16
8361,,2020-12-14 08:00:00,14-12-2020 20:51,1,219,0,36,0,5,0,18,1,2020-12-26 11:00:00,20:51
8362,,2020-12-14 09:00:00,14-12-2020 23:22,20,213,10,24,0,3,1,19,1,2022-07-04 10:00:00,23:22
8363,,2020-12-14 10:00:00,14-12-2020 17:11,5,184,11,22,0,3,3,17,0,,17:11
8364,,2020-12-14 11:00:00,15-12-2020 06:25,12,563,16,16,0,5,3,16,0,,06:25
8365,,2020-12-14 12:00:00,14-12-2020 22:20,5,399,13,23,1,2,1,6,1,2021-03-02 13:00:00,22:20
8366,,2020-12-14 13:00:00,14-12-2020 17:19,12,549,7,10,0,0,1,17,0,,17:19
8367,,2020-12-14 14:00:00,14-12-2020 14:40,8,331,12,42,0,3,1,6,0,,14:40
8368,,2020-12-14 15:00:00,14-12-2020 15:49,24,127,19,50,1,3,1,6,1,2021-01-17 16:00:00,15:49
8369,,2020-12-14 16:00:00,15-12-2020 02:50,10,361,5,60,1,5,3,14,1,2021-01-05 09:00:00,02:50
8370,,2020-12-14 17:00:00,15-12-2020 05:19,17,502,19,20,1,4,1,9,0,,05:19
8371,,2020-12-14 18:00:00,14-12-2020 23:45,17,561,1,35,1,0,3,6,0,,23:45
8372,,2020-12-14 19:00:00,15-12-2020 11:25,20,157,14,19,0,3,1,7,1,2020-12-19 01:00:00,11:25
8373,,2020-12-14 20:00:00,15-12-2020 18:06,14,151,15,46,1,5,3,6,1,2021-02-20 08:00:00,18:06
8374,,2020-12-14 21:00:00,15-12-2020 01:28,17,296,17,55,0,0,1,16,0,,01:28
8375,,2020-12-14 22:00:00,15-12-2020 19:36,21,325,19,29,0,1,1,11,1,2021-02-07 12:00:00,19:36
8376,,2020-12-14 23:00:00,15-12-2020 22:48,5,325,17,28,0,3,1,5,1,2020-12-30 16:00:00,22:48
8377,,2020-12-15 00:00:00,15-12-2020 23:18,17,364,20,39,0,1,3,1,1,2021-02-16 04:00:00,23:18
8378,,2020-12-15 01:00:00,15-12-2020 07:09,2,329,18,38,1,3,2,18,0,,07:09
8379,,2020-12-15 02:00:00,15-12-2020 21:02,9,289,16,41,0,1,3,17,0,,21:02
8380,,2020-12-15 03:00:00,15-12-2020 09:26,11,480,18,29,0,4,2,6,1,2020-12-24 16:00:00,09:26
8381,,2020-12-15 04:00:00,16-12-2020 02:34,6,151,19,78,0,5,1,4,0,,02:34
8382,,2020-12-15 05:00:00,16-12-2020 00:53,5,234,13,73,0,1,1,12,1,2021-01-20 03:00:00,00:53
8383,,2020-12-15 06:00:00,15-12-2020 19:39,28,543,19,22,0,4,1,14,0,,19:39
8384,,2020-12-15 07:00:00,16-12-2020 01:14,15,311,17,72,0,6,1,8,1,2020-12-24 13:00:00,01:14
8385,,2020-12-15 08:00:00,16-12-2020 05:55,18,339,0,33,1,2,0,16,0,,05:55
8386,,2020-12-15 09:00:00,15-12-2020 20:50,24,493,8,74,0,2,0,8,0,,20:50
8387,,2020-12-15 10:00:00,16-12-2020 04:52,12,466,14,25,1,4,1,9,1,2020-12-16 11:00:00,04:52
8388,,2020-12-15 11:00:00,15-12-2020 12:01,7,222,18,65,0,6,2,19,0,,12:01
8389,,2020-12-15 12:00:00,16-12-2020 03:26,0,548,7,16,0,6,1,4,0,,03:26
8390,,2020-12-15 13:00:00,16-12-2020 02:30,1,285,16,36,1,6,3,12,0,,02:30
8391,,2020-12-15 14:00:00,15-12-2020 18:36,25,280,16,27,1,3,3,11,0,,18:36
8392,,2020-12-15 15:00:00,16-12-2020 13:05,7,372,16,55,1,5,3,4,0,,13:05
8393,,2020-12-15 16:00:00,16-12-2020 12:39,2,421,13,53,0,0,1,6,1,2021-02-12 17:00:00,12:39
8394,,2020-12-15 17:00:00,16-12-2020 09:39,11,159,14,12,0,2,1,16,0,,09:39
8395,,2020-12-15 18:00:00,16-12-2020 13:15,5,462,2,66,0,6,1,17,0,,13:15
8396,,2020-12-15 19:00:00,16-12-2020 15:43,20,228,2,58,0,4,1,9,0,,15:43
8397,,2020-12-15 20:00:00,16-12-2020 17:47,24,526,1,68,1,0,3,9,1,2021-01-21 15:00:00,17:47
8398,,2020-12-15 21:00:00,15-12-2020 21:26,21,168,10,69,0,3,1,8,0,,21:26
8399,,2020-12-15 22:00:00,16-12-2020 21:11,3,312,10,38,1,5,1,12,1,2022-12-01 23:00:00,21:11
8400,,2020-12-15 23:00:00,16-12-2020 11:31,28,386,1,18,0,4,3,13,0,,11:31
8401,,2020-12-16 00:00:00,16-12-2020 17:53,13,545,13,17,1,5,1,3,1,2021-01-14 20:00:00,17:53
8402,,2020-12-16 01:00:00,16-12-2020 16:27,17,327,20,66,1,6,3,4,1,2021-02-21 04:00:00,16:27
8403,,2020-12-16 02:00:00,16-12-2020 12:42,7,175,13,41,0,1,1,16,0,,12:42
8404,,2020-12-16 03:00:00,16-12-2020 17:13,12,395,3,59,1,2,1,14,0,,17:13
8405,,2020-12-16 04:00:00,16-12-2020 14:37,13,491,9,74,0,5,1,6,0,,14:37
8406,,2020-12-16 05:00:00,16-12-2020 08:13,17,507,7,67,0,6,1,10,0,,08:13
8407,,2020-12-16 06:00:00,17-12-2020 05:53,14,452,3,62,0,2,1,7,0,,05:53
8408,,2020-12-16 07:00:00,17-12-2020 04:26,16,463,19,29,0,2,1,12,1,2021-01-15 23:00:00,04:26
8409,,2020-12-16 08:00:00,16-12-2020 13:28,9,547,7,74,0,3,1,14,0,,13:28
8410,,2020-12-16 09:00:00,17-12-2020 05:24,21,517,18,75,0,3,2,4,1,2020-12-23 12:00:00,05:24
8411,,2020-12-16 10:00:00,16-12-2020 12:16,1,442,1,68,1,4,3,18,0,,12:16
8412,,2020-12-16 11:00:00,16-12-2020 13:26,10,452,13,71,0,1,1,16,1,2021-01-10 12:00:00,13:26
8413,,2020-12-16 12:00:00,16-12-2020 22:10,5,273,11,40,0,1,3,6,1,2021-02-27 03:00:00,22:10
8414,,2020-12-16 13:00:00,16-12-2020 15:54,5,398,8,68,0,3,0,14,1,2021-03-11 10:00:00,15:54
8415,,2020-12-16 14:00:00,17-12-2020 09:31,17,368,12,20,0,1,1,18,0,,09:31
8416,,2020-12-16 15:00:00,17-12-2020 11:08,11,554,14,58,1,1,1,7,0,,11:08
8417,,2020-12-16 16:00:00,16-12-2020 17:13,20,477,5,47,0,4,3,4,0,,17:13
8418,,2020-12-16 17:00:00,17-12-2020 01:36,8,344,19,71,1,6,1,13,0,,01:36
8419,,2020-12-16 18:00:00,17-12-2020 14:17,17,203,13,60,1,6,1,1,0,,14:17
8420,,2020-12-16 19:00:00,16-12-2020 21:07,1,120,1,67,1,6,3,1,1,2021-01-19 15:00:00,21:07
8421,,2020-12-16 20:00:00,17-12-2020 06:20,17,439,20,50,0,5,3,3,0,,06:20
8422,,2020-12-16 21:00:00,17-12-2020 18:10,17,197,2,18,0,1,1,14,0,,18:10
8423,,2020-12-16 22:00:00,17-12-2020 03:24,24,391,13,66,0,4,1,3,0,,03:24
8424,,2020-12-16 23:00:00,16-12-2020 23:57,5,439,10,25,0,4,1,14,1,2021-11-18 10:00:00,23:57
8425,,2020-12-17 00:00:00,17-12-2020 11:19,27,555,19,79,0,3,1,6,1,2021-02-15 06:00:00,11:19
8426,,2020-12-17 01:00:00,17-12-2020 20:43,21,349,10,34,0,6,1,12,1,2021-07-07 01:00:00,20:43
8427,,2020-12-17 02:00:00,17-12-2020 06:17,22,437,14,23,0,2,1,15,0,,06:17
8428,,2020-12-17 03:00:00,18-12-2020 01:52,17,318,12,19,1,5,1,19,1,2021-01-28 02:00:00,01:52
8429,,2020-12-17 04:00:00,17-12-2020 06:30,28,342,6,74,1,4,1,13,1,2021-03-03 07:00:00,06:30
8430,,2020-12-17 05:00:00,17-12-2020 07:13,21,382,6,65,0,0,1,3,1,2021-02-18 03:00:00,07:13
8431,,2020-12-17 06:00:00,18-12-2020 05:38,4,365,7,25,0,0,1,6,1,2021-01-20 02:00:00,05:38
8432,,2020-12-17 07:00:00,18-12-2020 02:07,17,535,10,29,1,6,1,6,1,2021-09-20 00:00:00,02:07
8433,,2020-12-17 08:00:00,17-12-2020 20:10,13,475,10,26,0,1,1,7,1,2022-08-06 11:00:00,20:10
8434,,2020-12-17 09:00:00,17-12-2020 11:58,20,302,6,66,1,5,1,4,0,,11:58
8435,,2020-12-17 10:00:00,17-12-2020 20:36,13,520,4,15,0,6,1,8,1,2021-02-17 02:00:00,20:36
8436,,2020-12-17 11:00:00,18-12-2020 08:05,20,291,10,30,0,0,1,1,1,2022-05-07 14:00:00,08:05
8437,,2020-12-17 12:00:00,17-12-2020 19:39,20,346,8,15,0,4,0,11,1,2020-12-27 02:00:00,19:39
8438,,2020-12-17 13:00:00,17-12-2020 18:26,21,169,20,45,1,4,3,18,1,2021-02-04 00:00:00,18:26
8439,,2020-12-17 14:00:00,18-12-2020 12:57,13,189,9,34,1,0,1,12,1,2021-02-03 23:00:00,12:57
8440,,2020-12-17 15:00:00,17-12-2020 20:34,12,440,12,30,0,2,1,3,1,2021-02-25 21:00:00,20:34
8441,,2020-12-17 16:00:00,17-12-2020 22:50,25,271,11,45,1,6,3,5,0,,22:50
8442,,2020-12-17 17:00:00,17-12-2020 22:05,11,157,16,52,0,1,3,7,0,,22:05
8443,,2020-12-17 18:00:00,18-12-2020 13:58,2,495,16,43,1,5,3,18,0,,13:58
8444,,2020-12-17 19:00:00,18-12-2020 09:13,24,557,20,40,0,6,3,3,1,2021-01-07 07:00:00,09:13
8445,,2020-12-17 20:00:00,17-12-2020 20:54,24,437,18,16,0,1,2,3,0,,20:54
8446,,2020-12-17 21:00:00,18-12-2020 14:56,24,208,2,63,1,1,1,6,0,,14:56
8447,,2020-12-17 22:00:00,18-12-2020 16:09,15,391,11,18,0,3,3,6,0,,16:09
8448,,2020-12-17 23:00:00,18-12-2020 04:03,5,415,11,77,1,3,3,7,0,,04:03
8449,,2020-12-18 00:00:00,18-12-2020 00:12,15,599,6,38,1,2,1,11,1,2021-03-11 09:00:00,00:12
8450,,2020-12-18 01:00:00,18-12-2020 20:25,10,329,15,74,0,2,3,8,0,,20:25
8451,,2020-12-18 02:00:00,18-12-2020 07:07,8,416,11,15,0,5,3,15,0,,07:07
8452,,2020-12-18 03:00:00,18-12-2020 03:49,19,261,0,21,0,6,0,19,0,,03:49
8453,,2020-12-18 04:00:00,18-12-2020 13:32,5,195,1,36,1,0,3,12,1,2020-12-26 20:00:00,13:32
8454,,2020-12-18 05:00:00,18-12-2020 12:45,1,137,4,29,1,6,1,14,1,2021-02-08 22:00:00,12:45
8455,,2020-12-18 06:00:00,18-12-2020 21:00,5,345,16,60,0,4,3,14,1,2021-12-20 17:00:00,21:00
8456,,2020-12-18 07:00:00,18-12-2020 16:36,25,554,1,59,0,3,3,2,1,2021-02-06 17:00:00,16:36
8457,,2020-12-18 08:00:00,19-12-2020 03:39,5,312,13,26,0,3,1,9,0,,03:39
8458,,2020-12-18 09:00:00,18-12-2020 12:49,2,599,10,28,0,0,1,13,1,2021-07-26 06:00:00,12:49
8459,,2020-12-18 10:00:00,18-12-2020 21:12,7,556,6,31,0,6,1,18,1,2021-02-17 12:00:00,21:12
8460,,2020-12-18 11:00:00,19-12-2020 00:00,17,511,19,44,0,6,1,10,0,,00:00
8461,,2020-12-18 12:00:00,19-12-2020 06:39,10,223,13,36,1,3,1,5,1,2021-01-15 23:00:00,06:39
8462,,2020-12-18 13:00:00,19-12-2020 00:21,5,466,2,28,0,3,1,12,0,,00:21
8463,,2020-12-18 14:00:00,19-12-2020 00:32,5,264,17,52,0,6,1,13,0,,00:32
8464,,2020-12-18 15:00:00,19-12-2020 01:04,13,275,15,56,1,4,3,10,0,,01:04
8465,,2020-12-18 16:00:00,18-12-2020 19:51,16,467,6,70,0,6,1,5,1,2021-02-11 17:00:00,19:51
8466,,2020-12-18 17:00:00,19-12-2020 10:39,28,131,9,36,0,4,1,8,1,2021-01-14 16:00:00,10:39
8467,,2020-12-18 18:00:00,18-12-2020 23:53,13,588,17,17,0,0,1,12,0,,23:53
8468,,2020-12-18 19:00:00,19-12-2020 15:26,5,247,19,72,1,0,1,1,1,2021-03-05 10:00:00,15:26
8469,,2020-12-18 20:00:00,19-12-2020 02:42,7,138,5,31,0,6,3,18,1,2021-02-13 18:00:00,02:42
8470,,2020-12-18 21:00:00,19-12-2020 01:48,4,121,16,24,0,6,3,14,1,2022-08-27 19:00:00,01:48
8471,,2020-12-18 22:00:00,19-12-2020 10:28,3,167,19,34,0,0,1,14,1,2021-03-03 01:00:00,10:28
8472,,2020-12-18 23:00:00,19-12-2020 16:37,13,200,0,33,1,1,0,13,1,2021-02-17 08:00:00,16:37
8473,,2020-12-19 00:00:00,19-12-2020 23:27,0,462,11,35,0,1,3,13,0,,23:27
8474,,2020-12-19 01:00:00,19-12-2020 05:12,8,385,1,10,0,4,3,8,1,2021-02-17 15:00:00,05:12
8475,,2020-12-19 02:00:00,19-12-2020 07:06,17,188,20,19,1,5,3,2,1,2020-12-29 11:00:00,07:06
8476,,2020-12-19 03:00:00,19-12-2020 13:15,4,578,2,35,0,4,1,16,0,,13:15
8477,,2020-12-19 04:00:00,20-12-2020 03:27,14,571,16,24,0,2,3,6,1,2022-07-11 04:00:00,03:27
8478,,2020-12-19 05:00:00,20-12-2020 00:11,1,357,16,45,0,4,3,13,1,2022-01-05 02:00:00,00:11
8479,,2020-12-19 06:00:00,19-12-2020 14:25,5,235,15,56,0,0,3,19,1,2021-01-27 03:00:00,14:25
8480,,2020-12-19 07:00:00,19-12-2020 14:05,18,160,9,54,0,3,1,2,1,2020-12-31 08:00:00,14:05
8481,,2020-12-19 08:00:00,20-12-2020 04:26,21,180,20,77,0,5,3,16,1,2021-03-05 20:00:00,04:26
8482,,2020-12-19 09:00:00,20-12-2020 04:42,21,420,19,53,0,5,1,13,1,2021-02-10 09:00:00,04:42
8483,,2020-12-19 10:00:00,19-12-2020 21:49,17,532,8,34,0,5,0,12,0,,21:49
8484,,2020-12-19 11:00:00,19-12-2020 23:26,4,382,0,21,0,2,0,19,0,,23:26
8485,,2020-12-19 12:00:00,19-12-2020 16:19,5,327,10,62,1,6,1,9,0,,16:19
8486,,2020-12-19 13:00:00,20-12-2020 04:19,14,123,11,43,0,1,3,19,1,2021-03-17 02:00:00,04:19
8487,,2020-12-19 14:00:00,19-12-2020 18:55,16,152,3,34,1,2,1,16,0,,18:55
8488,,2020-12-19 15:00:00,20-12-2020 07:04,17,578,18,36,0,5,2,19,1,2021-01-18 07:00:00,07:04
8489,,2020-12-19 16:00:00,20-12-2020 11:48,4,175,7,23,0,2,1,15,0,,11:48
8490,,2020-12-19 17:00:00,20-12-2020 04:14,7,291,12,69,1,4,1,12,1,2021-03-15 08:00:00,04:14
8491,,2020-12-19 18:00:00,20-12-2020 08:10,13,475,18,21,0,0,2,1,1,2021-01-17 12:00:00,08:10
8492,,2020-12-19 19:00:00,20-12-2020 09:39,0,416,8,70,0,0,0,3,0,,09:39
8493,,2020-12-19 20:00:00,19-12-2020 22:53,8,543,5,46,1,3,3,15,1,2021-02-04 13:00:00,22:53
8494,,2020-12-19 21:00:00,19-12-2020 23:21,16,133,13,67,0,0,1,3,0,,23:21
8495,,2020-12-19 22:00:00,20-12-2020 17:49,2,361,13,27,0,6,1,11,1,2021-03-16 10:00:00,17:49
8496,,2020-12-19 23:00:00,20-12-2020 03:24,26,519,8,45,0,2,0,5,0,,03:24
8497,,2020-12-20 00:00:00,20-12-2020 08:03,5,421,18,60,0,5,2,9,0,,08:03
8498,,2020-12-20 01:00:00,20-12-2020 16:07,0,156,1,46,0,4,3,5,0,,16:07
8499,,2020-12-20 02:00:00,20-12-2020 20:06,5,593,6,54,0,3,1,7,1,2021-02-15 12:00:00,20:06
8500,,2020-12-20 03:00:00,20-12-2020 09:17,2,567,3,59,1,1,1,3,0,,09:17
8501,,2020-12-20 04:00:00,20-12-2020 05:55,5,150,5,30,0,6,3,19,0,,05:55
8502,,2020-12-20 05:00:00,20-12-2020 16:50,2,515,0,21,1,4,0,7,0,,16:50
8503,,2020-12-20 06:00:00,20-12-2020 23:17,0,500,1,17,0,1,3,9,1,2021-01-25 01:00:00,23:17
8504,,2020-12-20 07:00:00,20-12-2020 19:35,4,138,17,63,1,4,1,18,0,,19:35
8505,,2020-12-20 08:00:00,20-12-2020 17:26,5,509,2,52,0,4,1,16,1,2021-02-05 22:00:00,17:26
8506,,2020-12-20 09:00:00,21-12-2020 05:55,20,460,16,75,0,3,3,17,1,2022-07-31 18:00:00,05:55
8507,,2020-12-20 10:00:00,20-12-2020 21:28,8,406,14,72,1,5,1,1,1,2021-01-07 11:00:00,21:28
8508,,2020-12-20 11:00:00,21-12-2020 08:31,7,560,6,55,1,4,1,11,1,2021-02-15 02:00:00,08:31
8509,,2020-12-20 12:00:00,21-12-2020 04:10,2,302,1,14,1,4,3,18,1,2021-02-13 05:00:00,04:10
8510,,2020-12-20 13:00:00,21-12-2020 02:38,25,206,6,35,0,6,1,3,1,2021-03-17 18:00:00,02:38
